No,Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
5220,PhD,Commerce,"Data Analysis, SQL",Digital Marketing,72,Research Scientist
5221,Bachelor's,Finance,"Notion, Bash/Shell Scripting, PHP, Scikit-learn",Meta Front-End Developer,72,Frontend Developer
5222,Master's,Computer Science,"Data Structures & Algorithms, PostgreSQL",Google Professional ML Engineer,83,Research Scientist
5223,Bachelor's,Engineering,"Redis, GitHub Actions, Scikit-learn",GitHub Certified,86,Software Engineer / Developer
5224,Master's,Computer Science,"Analytical Thinking, Scikit-learn, Node.js",ITIL Foundation,91,Technical Support Specialist
5225,Master's,Engineering,"C++, Firewall, MySQL, Flutter",CISM,67,Security Engineer
5226,Bachelor's,Computer Science,"Swift (iOS), PyTorch, VPN, DNS",CISM,73,Cybersecurity Analyst
5227,Master's,Science,"Python, Confluence",ISTQB Foundation,64,QA Engineer / Software Tester
5228,Bachelor's,Computer Science,"Bash/Shell Scripting, Ruby, Jenkins",CertNexus IoT,91,IoT Engineer
5229,Master's,Commerce,"MySQL, PowerShell",Meta Spark AR,73,AR/VR Developer
5230,PhD,Computer Science,"System Design, Data Structures & Algorithms, Agile/Scrum",TensorFlow Developer Certificate,87,ML Engineer
5231,Bachelor's,Engineering,"SQL, C, Linux (Ubuntu), C#",AWS Certified Developer,84,Software Engineer / Developer
5232,Master's,Science,"Kubernetes, VPN, HTTP/HTTPS, Subnetting",CompTIA Security+,95,Security Engineer
5233,PhD,Computer Science,Communication,TOGAF,94,IT Consultant
5234,Master's,Computer Science,"Spark, C++, PostgreSQL, DNS",CompTIA Security+,95,Security Engineer
5235,Bachelor's,Engineering,"Java, PowerShell, Debian",Google Associate Cloud Engineer,72,Software Engineer / Developer
5236,Bachelor's,Engineering,"PostgreSQL, Jenkins, CI/CD",Oracle DBA Certified,66,Database Administrator (DBA)
5237,Bachelor's,Science,"Pandas, Design Patterns, TypeScript",Microsoft Power BI,92,Data Analyst
5238,Intermediate,Engineering,Communication,Creative Writing,84,Research Scientist
5239,Intermediate,Science,"Power BI, Redis, Cassandra",IBM Data Analyst Professional,70,Data Analyst
5240,Bachelor's,Engineering,"OSI Model, Cryptography",ISTQB Advanced,64,Automation Test Engineer
5241,Bachelor's,Psychology,"HTTP/HTTPS, CI/CD",Microsoft MCSA,90,System Administrator
5242,Master's,Engineering,"React Native, Terraform, Subnetting, TensorFlow",TOGAF,87,IT Consultant
5243,Intermediate,Computer Science,"Swift, Scala, Go",AWS Certified Data Analytics,83,Data Engineer
5244,Bachelor's,Business,"Design Patterns, CentOS, Problem Solving",Tableau Desktop Specialist,91,Business Analyst
5245,PhD,Commerce,"GitHub Actions, CI/CD, OOP, Django",Interaction Design Foundation,78,UI/UX Designer
5246,PhD,Psychology,"System Design, PostgreSQL",Microsoft Azure Developer,60,Backend Developer
5247,Bachelor's,Computer Science,"PHP, GitHub, Technical Writing, VPN",HDI Support Center Analyst,76,IT Support / Help Desk
5248,Master's,Computer Science,"OSI Model, C++",Coursera ML Specialization,87,ML Engineer
5249,Intermediate,Computer Science,"Problem Solving, Debian, Load Balancer",Google IT Support,92,Technical Support Specialist
5250,PhD,Computer Science,"Data Structures & Algorithms, AWS, Ansible",ITIL Expert,62,IT Consultant
5251,Bachelor's,Business,"Git, SIEM, Design Patterns",Ethereum Developer Certification,87,Blockchain Developer
5252,Bachelor's,Computer Science,"C#, Debian",HashiCorp Terraform,70,Platform Engineer
5253,Bachelor's,Engineering,"Cassandra, OWASP, DNS",CompTIA Network+,89,Network Engineer
5254,PhD,Computer Science,"CentOS, Jira, SQLite, Power BI",Microsoft Azure Developer,64,Full Stack Developer
5255,Bachelor's,Engineering,"Analytical Thinking, System Design, REST API, AWS",Selenium Certification,93,Automation Test Engineer
5256,Master's,Computer Science,"R, Rust, MySQL, Pandas",AWS Certified Developer,94,Software Engineer / Developer
5257,Bachelor's,Computer Science,"GitHub, Confluence",Oracle Java Certified,82,Software Engineer / Developer
5258,Bachelor's,Computer Science,"CentOS, GitHub, Kubernetes",Docker Certified Associate,71,DevOps Engineer
5259,Bachelor's,Engineering,"Kali Linux, Scala, DNS",CompTIA Security+,74,Cryptographer
5260,Bachelor's,Computer Science,"Elasticsearch, R, SQL",Coursera ML Specialization,86,Data Scientist
5261,Bachelor's,Computer Science,"Bash/Shell Scripting, AWS, Windows Server, TypeScript",CompTIA Security+,75,Cybersecurity Analyst
5262,Master's,Computer Science,"Agile/Scrum, Windows Server",AWS Solutions Architect,85,IT Consultant
5263,Master's,Science,"Kotlin, Technical Writing",Microsoft Power BI,61,Data Analyst
5264,Master's,Computer Science,"GitHub, Terraform, Windows Server",ISTQB Foundation,95,QA Engineer / Software Tester
5265,PhD,Science,"Bash/Shell Scripting, Problem Solving",DeepLearning.AI Specialization,88,Research Scientist
5266,Bachelor's,Computer Science,"Microservices, GitLab",Google Associate Cloud Engineer,78,Software Engineer / Developer
5267,Bachelor's,Computer Science,"GitHub, Subnetting",AWS Certified Mobile,70,Mobile Developer (iOS / Android)
5268,Bachelor's,Business,Machine Learning,,65,Research Scientist
5269,Bachelor's,Computer Science,"Tableau, System Design",TOGAF,88,IT Consultant
5270,PhD,Computer Science,"Ansible, Metasploit, Vue, Windows Server",Cisco CyberOps,91,IoT Engineer
5271,Matric,Business,"CI/CD, MongoDB, Data Structures & Algorithms",CompTIA IT Fundamentals,90,Data Entry Operator
5272,Master's,Computer Science,"Cassandra, VPN, Git",Oracle Java Certified,87,Software Engineer
5273,Intermediate,Arts,"Counseling, Python",Google Data Analytics,74,Business Analyst
5274,Bachelor's,Business,"NumPy, Terraform, Data Structures & Algorithms",AWS Certified Machine Learning,71,NLP Engineer
5275,Bachelor's,Computer Science,"Firewall, SQLite, C++",Microsoft Azure Administrator,71,Cloud Engineer
5276,PhD,Science,"Java, OWASP, System Design, R",DeepLearning.AI Specialization,90,Research Scientist
5277,Bachelor's,Business,"Next.js, Ansible, GitLab",PMI-ACP,91,Product Manager
5278,PhD,Computer Science,"REST API, Spark, Debian",IBM Data Science Professional,84,Research Scientist
5279,PhD,Science,"Data Structures & Algorithms, Metasploit, OSI Model",Certified Scrum Master (CSM),76,Scrum Master / Agile Coach
5280,Bachelor's,Computer Science,"Jira, Kotlin, DNS",Google Associate Cloud Engineer,85,Software Engineer
5281,Master's,Computer Science,"PHP, System Design",Oracle Java Certified,68,Software Engineer
5282,Master's,Finance,"Node.js, TypeScript",Docker Certified Associate,76,Platform Engineer
5283,Master's,Computer Science,"CI/CD, C#, Wireshark",Oracle Java Certified,64,Software Engineer
5284,Matric,Computer Science,"R, Bitbucket, Communication",ISTQB Advanced,75,Automation Test Engineer
5285,Intermediate,Computer Science,"Kali Linux, R, Windows Server, Load Balancer",Google IT Support,78,IT Support / Help Desk
5286,Master's,Science,MS Office,AWS Certified,60,Software Engineer
5287,Bachelor's,Commerce,"GitHub Actions, GitHub",Linux Foundation CKA,89,Site Reliability Engineer (SRE)
5288,Master's,Computer Science,"SQL, GitHub, Laravel, Jenkins",Oracle Java Certified,62,Software Engineer / Developer
5289,Bachelor's,Engineering,"Kotlin/Java (Android), SQLite, Jira",Oracle Java Certified,66,Software Engineer
5290,Bachelor's,Business,"Microservices, Bash/Shell Scripting",Apple Certified Developer,90,Mobile Developer (iOS / Android)
5291,Bachelor's,Business,"PowerShell, Kali Linux",CKA (Kubernetes),78,Site Reliability Engineer (SRE)
5292,PhD,Business,"Pandas, REST API, PyTorch",DeepLearning.AI NLP Specialization,94,NLP Engineer
5293,Matric,Science,"MongoDB, TCP/IP, OSI Model",Microsoft MTA,89,IT Support / Help Desk
5294,Bachelor's,Business,"GitHub Actions, DNS",Scrum Master (CSM),83,IT Project Manager
5295,Intermediate,Commerce,"PowerShell, Communication, NumPy, Kotlin/Java (Android)",Microsoft Office Specialist,89,Data Entry Operator
5296,Bachelor's,Engineering,"Analytical Thinking, CentOS, System Design",Juniper JNCIA,64,Network Engineer
5297,Master's,Computer Science,"Analytical Thinking, Ansible, Load Balancer, GitHub Actions",TensorFlow Developer Certificate,82,ML Engineer
5298,Bachelor's,Engineering,"System Design, Technical Writing, Communication",ITIL Expert,91,Enterprise Architect
5299,Intermediate,Business,"HTML, JavaScript, Bitbucket, Go",Microsoft Azure Developer,90,Full Stack Developer
5300,Bachelor's,Computer Science,"Elasticsearch, Git, Express",Interaction Design Foundation,94,UI/UX Designer
5301,Bachelor's,Computer Science,"SQLite, Jira",React Native Certification,63,Mobile Developer (iOS / Android)
5302,PhD,Computer Science,"SIEM, Ruby",DeepLearning.AI Specialization,89,AI Research Scientist
5303,Bachelor's,Computer Science,"TCP/IP, Kubernetes",OSCP (Offensive Security),79,Penetration Tester (Ethical Hacker)
5304,Bachelor's,Science,"Analytical Thinking, OWASP, Problem Solving, Jira",freeCodeCamp Certification,89,Frontend Developer
5305,Bachelor's,Computer Science,"Terraform, GitHub Actions, Rust",Cisco CyberOps,80,IoT Engineer
5306,PhD,Engineering,"Docker, Confluence, Metasploit, Flask",Ethereum Developer Certification,65,Blockchain Developer
5307,Intermediate,Finance,"Kotlin, Design Patterns, SQLite, HTTP/HTTPS",TOGAF,77,Solutions Architect
5308,Bachelor's,Computer Science,Python,Google Data Analytics,64,Business Analyst
5309,Bachelor's,Computer Science,"Bitbucket, CentOS, Load Balancer",AWS Certified Developer,95,Software Engineer
5310,Bachelor's,Engineering,"Windows Server, Jira, Pandas",Docker Certified Associate,74,DevOps Engineer
5311,Master's,Engineering,"Swift, Power BI, C++",Google Professional Data Engineer,65,Data Engineer
5312,Bachelor's,Computer Science,"Swift (iOS), AWS, Ruby, OOP",TensorFlow Developer Certificate,88,ML Engineer
5313,Bachelor's,Commerce,"Linux (Ubuntu), Confluence, DNS",Adobe Certified Professional,81,UI/UX Designer
5314,Master's,Computer Science,"Ruby, Angular, System Design, Rust",Apple Certified Developer,74,Mobile Developer (iOS / Android)
5315,Bachelor's,Engineering,"Accounting, Counseling",Mental Health Basics,72,Data Entry Operator
5316,Bachelor's,Engineering,"Kubernetes, Git",Google Associate Cloud Engineer,93,Software Engineer / Developer
5317,Master's,Psychology,"Notion, Rust, Flutter",Unity Certified Developer,66,Game Developer
5318,Bachelor's,Business,"Cassandra, Firebase, Redis, PyTorch",Microsoft Power BI,60,Business Analyst
5319,Master's,Computer Science,"Accounting, Data Analysis",Tally ERP,61,Research Scientist
5320,PhD,Computer Science,"Power BI, Subnetting, Firebase, OOP",Google Professional ML Engineer,94,ML Engineer
5321,Matric,Finance,"GitHub, Swift (iOS), Git",React Native Certification,67,Mobile Developer (iOS / Android)
5322,Master's,Computer Science,"Ruby, GitHub, Spark",Google Associate Cloud Engineer,60,Software Engineer / Developer
5323,Master's,Computer Science,"C#, Bitbucket, Microservices, Analytical Thinking",DeepLearning.AI Specialization,95,AI Research Scientist
5324,Master's,Business,"TCP/IP, React Native, Kotlin/Java (Android)",Google IT Support,63,Technical Support Specialist
5325,Master's,Computer Science,"TensorFlow, TypeScript, GitLab, Git",Google Associate Cloud Engineer,70,Software Engineer
5326,PhD,Engineering,"Jira, Kotlin, React Native, Python",Microsoft Azure Developer,62,Backend Developer
5327,Master's,Arts,"PHP, SQLite, C, Next.js",Snowflake SnowPro,75,Data Engineer
5328,Master's,Commerce,"PHP, React, Jira, Ansible",TensorFlow Developer Certificate,76,NLP Engineer
5329,Master's,Arts,"React, Spring Boot",AWS Certified Developer,88,Frontend Developer
5330,Bachelor's,Computer Science,"SQL, Windows Server, Notion",HashiCorp Terraform,76,DevOps Engineer
5331,Intermediate,Commerce,"Analytical Thinking, Notion, Metasploit",Google UX Design Certificate,69,UI/UX Designer
5332,Bachelor's,Computer Science,"Java, Flutter",Meta Full Stack Developer,95,Full Stack Developer
5333,Bachelor's,Engineering,"Bash/Shell Scripting, PostgreSQL",SAFe Agilist,79,Scrum Master / Agile Coach
5334,Bachelor's,Engineering,"Linux (Ubuntu), C",Docker Certified Associate,91,DevOps Engineer
5335,Master's,Commerce,"Python, Machine Learning",CFA Level 1,84,Business Analyst
5336,Master's,Computer Science,"Bash/Shell Scripting, Load Balancer, Kubernetes",Cisco CCNA,93,Infrastructure Engineer
5337,Bachelor's,Computer Science,"React Native, SQLite",Tableau Desktop Specialist,75,Business Analyst
5338,Bachelor's,Computer Science,"Microservices, OOP, Swift",AIPMM CPM,83,Product Manager
5339,Bachelor's,Computer Science,"Flutter, SQL, Bash/Shell Scripting",AWS Certified Machine Learning,78,Machine Learning Engineer
5340,Bachelor's,Engineering,"Penetration Testing, CentOS, AWS",AWS SysOps Administrator,69,Infrastructure Engineer
5341,Bachelor's,Engineering,"MySQL, Jira",GitHub Certified,85,Software Engineer / Developer
5342,Bachelor's,Engineering,"Jetpack Compose, React, Swift (iOS), Agile/Scrum",Oracle Java Certified,60,Software Engineer / Developer
5343,Bachelor's,Engineering,"Agile/Scrum, Kubernetes, SQL, Terraform",MySQL Certified,72,Database Administrator (DBA)
5344,PhD,Computer Science,"TensorFlow, Agile/Scrum",AWS Certified Machine Learning,83,Data Scientist
5345,PhD,Computer Science,"Kotlin/Java (Android), REST API",Databricks ML Associate,91,Machine Learning Engineer
5346,Bachelor's,Finance,"Jira, Express, Laravel",Meta Front-End Developer,72,Frontend Developer
5347,Intermediate,Commerce,"SQL, Communication",Tally ERP,63,Research Scientist
5348,Bachelor's,Business,"VPN, Cryptography",Ethereum Developer Certification,75,Blockchain Developer
5349,Bachelor's,Computer Science,"SIEM, CentOS, Penetration Testing, Load Balancer",CompTIA Security+,64,Cybersecurity Analyst
5350,Master's,Science,"Agile/Scrum, SQL, Penetration Testing",Google Data Analytics,72,Business Intelligence Analyst
5351,Matric,Business,"Rust, MySQL",Google IT Support,87,Data Entry Operator
5352,Intermediate,Engineering,"Terraform, Jetpack Compose, React Native, MySQL",Google Associate Android Developer,75,Mobile Developer (iOS / Android)
5353,Master's,Arts,"SIEM, Flutter, React Native, Kotlin",Microsoft Azure Developer,84,Backend Developer
5354,Master's,Finance,"Power BI, Bitbucket",Tableau Desktop Specialist,75,Data Analyst
5355,PhD,Computer Science,"Swift, Problem Solving",Tricentis Tosca,88,QA Engineer / Software Tester
5356,Bachelor's,Finance,"Git, Agile/Scrum, Kubernetes",PMP,79,IT Consultant
5357,PhD,Computer Science,"Penetration Testing, Terraform, Python",TensorFlow Developer Certificate,71,Machine Learning Engineer
5358,Master's,Computer Science,"Jetpack Compose, Debian, C++, Communication",AWS Certified SysOps,78,Site Reliability Engineer (SRE)
5359,Bachelor's,Business,"Azure, MySQL, Bash/Shell Scripting",Google Cloud Architect,60,Solutions Architect
5360,Bachelor's,Finance,"Git, Cassandra, Next.js, MySQL",Microsoft Power BI,92,Data Analyst
5361,Bachelor's,Engineering,"GitHub, Hadoop, Data Structures & Algorithms, System Design",AWS Certified Developer,84,Software Engineer
5362,Bachelor's,Engineering,"Python, REST API",Google Cloud Professional,88,Backend Developer
5363,Bachelor's,Computer Science,"Kali Linux, Azure, Swift",ITIL Foundation,66,Technical Writer
5364,Master's,Computer Science,"Analytical Thinking, Microservices, Redis, Cryptography",CISSP,82,Cryptographer
5365,Intermediate,Computer Science,"Azure, SIEM, NumPy, Kotlin/Java (Android)",Hyperledger Fabric,67,Blockchain Developer
5366,Bachelor's,Engineering,"Subnetting, REST API",Cisco CCNA,64,Network Engineer
5367,Bachelor's,Computer Science,"OOP, Analytical Thinking",Google Associate Cloud Engineer,89,Software Engineer / Developer
5368,Bachelor's,Commerce,"Debian, PowerShell",Google IT Support,84,Data Entry Operator
5369,Bachelor's,Engineering,"CentOS, Design Patterns",AWS Certified Developer,72,Software Engineer / Developer
5370,PhD,Computer Science,"Tableau, Problem Solving, Debian",DeepLearning.AI Specialization,76,AI Research Scientist
5371,Intermediate,Business,"Python, Accounting, Communication",Tally ERP,74,ML Engineer
5372,Bachelor's,Psychology,"Bash/Shell Scripting, CI/CD",HashiCorp Terraform,75,Platform Engineer
5373,Bachelor's,Computer Science,"TCP/IP, CI/CD",AWS Certified SysOps,88,Site Reliability Engineer (SRE)
5374,Master's,Computer Science,"CentOS, GraphQL, Agile/Scrum, DNS",Google Professional ML Engineer,90,Research Scientist
5375,Bachelor's,Science,"Wireshark, PowerShell",Google Cloud Professional,82,Cloud Engineer
5376,Bachelor's,Arts,"Load Balancer, Burp Suite, TCP/IP",Microsoft MTA,63,Technical Support Specialist
5377,Bachelor's,Science,"AWS, Firewall",Google Cloud Professional,89,Backend Developer
5378,Bachelor's,Computer Science,"Communication, Analytical Thinking",Microsoft MTA,76,IT Support / Help Desk
5379,PhD,Computer Science,"MySQL, C#, React Native",Apple Certified Developer,70,Mobile Developer (iOS / Android)
5380,Bachelor's,Engineering,"Windows Server, Express",Adobe Certified Professional,78,UI/UX Designer
5381,Bachelor's,Computer Science,"Rust, Python, MongoDB, Flutter",Microsoft SQL Server Certification,71,Database Administrator (DBA)
5382,Bachelor's,Finance,"Debian, OSI Model, JavaScript",CEH,90,Penetration Tester (Ethical Hacker)
5383,Intermediate,Arts,"GitHub Actions, TCP/IP, Flutter, Bitbucket",GCIA (GIAC),64,SOC Analyst
5384,Bachelor's,Arts,"Scikit-learn, React Native, OOP, Hadoop",TensorFlow Developer Certificate,73,NLP Engineer
5385,Intermediate,Computer Science,"Bash/Shell Scripting, Subnetting",CertNexus IoT,67,Embedded Systems Engineer
5386,Master's,Computer Science,"REST API, Swift (iOS), Communication",DeepLearning.AI Specialization,95,AI Research Scientist
5387,Bachelor's,Business,"TensorFlow, Swift (iOS), Spark",Google Data Analytics,82,Business Intelligence Analyst
5388,Master's,Commerce,"GitHub, C#, PyTorch, Confluence",Databricks Associate,86,Data Engineer
5389,Master's,Finance,"Wireshark, Angular, OOP",Tricentis Tosca,77,QA Engineer / Software Tester
5390,Master's,Finance,"Linux (Ubuntu), PyTorch",Linux Foundation CKA,60,Site Reliability Engineer (SRE)
5391,Bachelor's,Computer Science,"Agile/Scrum, OWASP, Python",Google Project Management,80,Product Manager
5392,Master's,Business,"SQLite, Confluence",Google Project Management,87,Product Manager
5393,PhD,Computer Science,"MySQL, TensorFlow",DeepLearning.AI Specialization,78,Research Scientist
5394,Bachelor's,Psychology,SQL,Google Data Analytics,65,Data Entry Operator
5395,PhD,Psychology,"TypeScript, REST API, Microservices",AWS Certified Machine Learning,60,NLP Engineer
5396,PhD,Computer Science,"Design Patterns, SQL",IBM Data Science Professional,82,Data Scientist
5397,Master's,Computer Science,"CI/CD, PyTorch",TensorFlow Developer Certificate,90,Computer Vision Engineer
5398,Intermediate,Computer Science,"Marketing, Accounting, Data Analysis",AWS Certified,91,Research Scientist
5399,Matric,Engineering,"CentOS, VPN, Load Balancer, Next.js",Google IT Support,61,Technical Support Specialist
5400,Intermediate,Computer Science,"Data Structures & Algorithms, Jenkins, Go",Meta Spark AR,64,AR/VR Developer
5401,Matric,Computer Science,"Design Patterns, Jenkins, OOP",ITIL Expert,93,Enterprise Architect
5402,Master's,Computer Science,"GitLab, REST API",ITIL Expert,82,Enterprise Architect
5403,PhD,Computer Science,"AWS, Cassandra",Microsoft Power BI,94,Business Intelligence Analyst
5404,Bachelor's,Computer Science,"PHP, System Design, Kotlin/Java (Android), Data Structures & Algorithms",GitHub Certified,77,Software Engineer / Developer
5405,Master's,Computer Science,"GraphQL, Google Cloud, R, REST API",AWS Certified Developer,76,Software Engineer
5406,Bachelor's,Computer Science,"Kubernetes, OOP, Ruby",Coursera ML Specialization,82,ML Engineer
5407,Master's,Business,"Terraform, Design Patterns, Elasticsearch",CISSP,67,Security Engineer
5408,Bachelor's,Computer Science,"Jira, GraphQL, Data Structures & Algorithms",TOGAF,79,Solutions Architect
5409,Bachelor's,Business,"PyTorch, Agile/Scrum, C, Analytical Thinking",PRINCE2,67,IT Project Manager
5410,Bachelor's,Computer Science,"C, Elasticsearch, NumPy, Ansible",Microsoft SQL Server Certification,87,Database Administrator (DBA)
5411,Bachelor's,Computer Science,"PyTorch, Swift, Swift (iOS), Jetpack Compose",Coursera ML Specialization,90,Data Scientist
5412,Bachelor's,Computer Science,"Bash/Shell Scripting, Notion",Google Associate Cloud Engineer,79,Software Engineer
5413,Bachelor's,Business,"Elasticsearch, Azure, Next.js",AWS Solutions Architect,62,Cloud Engineer
5414,Bachelor's,Computer Science,"CentOS, PostgreSQL, Hadoop",Microsoft MTA,91,Technical Support Specialist
5415,Intermediate,Commerce,"Debian, Cassandra, System Design, SQLite",Microsoft Office Specialist,69,Data Entry Operator
5416,Bachelor's,Engineering,"Scala, C++",Tricentis Tosca,73,Automation Test Engineer
5417,Matric,Engineering,"Marketing, Communication, Accounting",Creative Writing,73,Business Analyst
5418,Master's,Computer Science,"SQL, GitHub Actions, Rust, System Design",AWS Certified Machine Learning,91,Machine Learning Engineer
5419,Bachelor's,Computer Science,"Scala, Jetpack Compose",AWS Solutions Architect,66,Platform Engineer
5420,Master's,Computer Science,"Linux (Ubuntu), Communication, PHP",TensorFlow Developer Certificate,63,Machine Learning Engineer
5421,Bachelor's,Engineering,"SQLite, System Design, Design Patterns",Google Cloud Architect,77,Solutions Architect
5422,Bachelor's,Computer Science,"GraphQL, Next.js, Debian",Adobe Certified Professional,93,Product Designer
5423,Bachelor's,Science,"Subnetting, CSS, Azure, Cassandra",Google Professional SRE,68,Site Reliability Engineer (SRE)
5424,Master's,Computer Science,"Power BI, Agile/Scrum, Java",Google Professional ML Engineer,76,AI Research Scientist
5425,PhD,Engineering,"Agile/Scrum, Next.js, Pandas",ICAgile,76,Scrum Master / Agile Coach
5426,Bachelor's,Computer Science,"Cassandra, Burp Suite, CentOS",CISM,89,Cybersecurity Analyst
5427,Matric,Computer Science,"REST API, MySQL, Problem Solving, Google Cloud",ITIL Expert,90,IT Consultant
5428,Intermediate,Business,SQL,Mental Health Basics,79,Business Analyst
5429,Intermediate,Psychology,"Azure, Subnetting, Wireshark",Splunk Certified,83,SOC Analyst
5430,PhD,Computer Science,"C#, Kotlin, GitHub Actions",TensorFlow Developer Certificate,93,ML Engineer
5431,PhD,Computer Science,"Firewall, DNS, Technical Writing",ITIL Foundation,60,Technical Support Specialist
5432,Master's,Business,"MongoDB, SQL, Pandas, Windows Server",IIBA CBAP,95,Business Analyst
5433,PhD,Science,"OWASP, Metasploit",NVIDIA Deep Learning Institute,83,Research Scientist
5434,PhD,Computer Science,"Rust, Kotlin",Tableau Desktop Specialist,94,Data Analyst
5435,Master's,Business,"C++, Load Balancer, GitHub",Meta Front-End Developer,77,Frontend Developer
5436,Bachelor's,Science,"CentOS, Confluence, Communication",Google UX Design Certificate,61,Frontend Developer
5437,PhD,Computer Science,"Problem Solving, Spring Boot, Bash/Shell Scripting, Kotlin",ITIL Foundation,83,Technical Support Specialist
5438,Bachelor's,Engineering,"HTML, Swift, Kali Linux",AWS Solutions Architect,93,Platform Engineer
5439,Master's,Computer Science,"Windows Server, Firebase, Go",AWS Certified Mobile,72,Mobile Developer (iOS / Android)
5440,Bachelor's,Computer Science,"Kubernetes, SQL, GitHub Actions",Microsoft SQL Server Certification,75,Database Administrator (DBA)
5441,Bachelor's,Engineering,"Vue, Technical Writing, Laravel",Interaction Design Foundation,91,UI/UX Designer
5442,PhD,Psychology,Machine Learning,Google Data Analytics,93,ML Engineer
5443,Master's,Business,"Agile/Scrum, TCP/IP",PRINCE2,89,IT Project Manager
5444,Bachelor's,Computer Science,"REST API, Vue, Technical Writing, Pandas",Interaction Design Foundation,60,UI/UX Designer
5445,Master's,Computer Science,"Azure, Data Structures & Algorithms, Debian, REST API",Google Cloud Architect,88,Solutions Architect
5446,Bachelor's,Business,"Git, OOP, Problem Solving",Figma Professional,80,Product Designer
5447,Bachelor's,Computer Science,"Counseling, Financial Analysis",Tally ERP,74,Research Scientist
5448,Bachelor's,Engineering,"Burp Suite, HTTP/HTTPS, SQL, Analytical Thinking",Google UX Design Certificate,93,Frontend Developer
5449,Bachelor's,Commerce,"REST API, PHP, TCP/IP",IIBA CBAP,63,Business Analyst
5450,Master's,Business,"Cryptography, Tableau, OOP",Microsoft Power BI,65,Business Analyst
5451,Bachelor's,Engineering,"Go, TensorFlow",Microsoft Azure Developer,82,Full Stack Developer
5452,Master's,Computer Science,"TensorFlow, Redis",Microsoft Power BI,78,Data Analyst
5453,Master's,Finance,"Terraform, TCP/IP, SQL, Swift (iOS)",HP ALM Certified,68,QA Engineer / Software Tester
5454,Master's,Computer Science,"OOP, Elasticsearch, Bash/Shell Scripting",Google Professional ML Engineer,87,ML Engineer
5455,Matric,Business,"Microservices, Windows Server, R",CompTIA Linux+,78,Embedded Systems Engineer
5456,Master's,Computer Science,"Python, Financial Analysis, Communication",Creative Writing,95,Research Scientist
5457,Bachelor's,Science,"System Design, Swift (iOS), OSI Model",IBM QRadar,94,SOC Analyst
5458,Bachelor's,Business,"Cryptography, TCP/IP, Spring Boot, Communication",ITIL Expert,81,Enterprise Architect
5459,Matric,Business,"Problem Solving, OSI Model, REST API",Google IT Support,68,Data Entry Operator
5460,Intermediate,Commerce,"Scala, HTML, Agile/Scrum",Tally ERP,81,Data Entry Operator
5461,Bachelor's,Science,"Problem Solving, Confluence",Meta Front-End Developer,63,Frontend Developer
5462,Bachelor's,Computer Science,"Kotlin, Jetpack Compose, Notion, Linux (Ubuntu)",CompTIA Security+,64,SOC Analyst
5463,Intermediate,Arts,"MongoDB, Confluence",AWS DevOps,71,Automation Test Engineer
5464,Bachelor's,Computer Science,"Flask, JavaScript, Spring Boot, Firewall",AWS Certified Developer,92,Full Stack Developer
5465,Master's,Business,"Docker, Data Structures & Algorithms, Git, Metasploit",PMP (Project Management Professional),76,IT Project Manager
5466,Matric,Science,"CentOS, Elasticsearch, Pandas, Confluence",HDI Support Center Analyst,77,IT Support / Help Desk
5467,PhD,Computer Science,"VPN, Swift (iOS)",Microsoft Azure Administrator,68,Infrastructure Engineer
5468,Intermediate,Science,"HTTP/HTTPS, Scala, Cryptography, Jetpack Compose",CISM,79,Security Engineer
5469,Intermediate,Engineering,"OOP, CI/CD, Azure",Zachman Framework,66,Enterprise Architect
5470,PhD,Computer Science,"C++, Vue, Ruby",NVIDIA Deep Learning Institute,83,AI Research Scientist
5471,PhD,Engineering,"GitHub Actions, Bash/Shell Scripting, Linux (Ubuntu), Elasticsearch",AWS Solutions Architect,62,Cloud Engineer
5472,Bachelor's,Computer Science,"Flutter, Go, Windows Server",MySQL Certified,68,Database Administrator (DBA)
5473,Master's,Computer Science,"PostgreSQL, Ansible, C++, CI/CD",Google Cloud Professional,90,Full Stack Developer
5474,Bachelor's,Computer Science,Hadoop,TensorFlow Developer Certificate,90,ML Engineer
5475,Bachelor's,Business,"Wireshark, Subnetting, Agile/Scrum, Metasploit",Google Project Management,68,Product Manager
5476,Bachelor's,Computer Science,"Windows Server, Azure, Wireshark, Notion",AWS Certified DevOps Engineer,63,DevOps Engineer
5477,Bachelor's,Computer Science,"Tableau, Laravel",Google Associate Cloud Engineer,87,Software Engineer / Developer
5478,Bachelor's,Commerce,"Scikit-learn, MongoDB",Tableau Desktop Specialist,88,Business Analyst
5479,Matric,Science,"Spark, CentOS, Firewall, TCP/IP",Microsoft MTA,69,IT Support / Help Desk
5480,Master's,Engineering,"Scikit-learn, CentOS",React Native Certification,61,Mobile Developer (iOS / Android)
5481,Matric,Business,"React Native, Data Structures & Algorithms, Technical Writing",CompTIA IT Fundamentals,79,Data Entry Operator
5482,PhD,Computer Science,"Terraform, Scala, Tableau",IBM Data Science Professional,93,Research Scientist
5483,Bachelor's,Computer Science,"GitHub, SQL",Google Associate Android Developer,83,Mobile Developer (iOS / Android)
5484,Intermediate,Commerce,"Firebase, Bash/Shell Scripting",Tally ERP,78,Data Entry Operator
5485,Bachelor's,Computer Science,"Swift, Load Balancer",ITIL Foundation,65,Technical Support Specialist
